20 Cliffside: Detour eastbound v|||20 Cliffside: Detour eastbound via Greystowne Walk , Danforth Rd and Wolfe Ave due to a collision.
Have proof of payment ready for|||Have proof of payment ready for inspection.
Line 1 Yonge-University: No serv|||Line 1 Yonge-University: No service between King and St George stations due to a security incident.
103 Mount Pleasant North: Detour|||103 Mount Pleasant North: Detour via Mount Pleasant Rd, Broadway Ave, Yonge St and Berwick Ave due to a collision.
37A Islington: Buses are not sto|||37A Islington: Bypass near Woodbine Racetrack Loop (Main Entrance) due to a Protest.
11 Bayview: Detour northbound vi|||11 Bayview: Detour northbound via Yonge St, Merton St and Mt Pleasant Rd due to construction.
34 Eglinton: Detour westbound vi|||34 Eglinton: Detour westbound via Mount Pleasant Rd, Broadway Ave, Yonge St and Berwick Ave due to a collision.
20 Cliffside: Detour westbound v|||20 Cliffside: Detour westbound via Danforth Ave, St Clair Ave E and Midland Ave due to a collision.
TMU: Elevator out of service bet|||TMU: Elevator out of service between Toronto Eaton Centre entrance, Line 1 Vaughan via Union platform, and underpass while we perform maintenance.
Laird: Elevator ELV02-B out of s|||Laird: Elevator out of service between Eglinton Avenue south side entrance and concourse while we perform maintenance. Elevator is expected to be back in service September 30, 2026.
Cedarvale: Elevator 06-ELV-B out|||Cedarvale: Elevator out of service between platform and upper concourse while we perform maintenance.
Don Valley: Elevator ELV03-C out|||Don Valley: Elevator out of service between concourse and Don Mills Road west side entrance due to the Ontario Line construction. Elevator is expected to be back in service February 8, 2032.
118 Thistle Down: Detour westbou|||118 Thistle Down: Detour westbound via Agate Rd and Victory Dr due to a collision.
Please look both ways|||Please look both ways for cyclists before exiting.
74 Mount Pleasant: Detour via Mo|||74 Mount Pleasant: Detour via Mount Pleasant Rd, Broadway Ave, Yonge St and Berwick Ave due to a collision.
Line 1 Yonge-University: There i|||There is no subway service on Line 1 Yonge-University between Finch and Sheppard-Yonge stations due to planned signal work. Shuttle buses are running. Follow the station signs or speak to a TTC employee for help. Service will resume September 28.
96 Wilson: Detour westbound via|||96 Wilson: Detour westbound via Wilson Ave, Agate Rd, Victory Dr and Julian Rd due to a collision.
28 Bayview South: Detour eastbou|||28 Bayview South: Detour eastbound via Yonge St, Millwood Rd and Acacia Rd due to construction.
165 Weston Rd North: Detour via|||165 Weston Rd North: Detour via Wilson Ave, Agate Rd, Victory Dr and Julian Rd due to a collision.
St Patrick: Elevator 4Y1L out of|||St Patrick: Elevator out of service between concourse and Line 1 centre platform due to a technical problem. Elevator is expected to be back in service October 9, 2026.
